PLAYER,AGE,PTS,RF_SALARY_2026,XGB_SALARY_2026
Blake Wesley,23,148,"$2,131,756","$3,694,276"
Zach Collins,28,97,"$2,723,990","$3,693,764"
Tyrese Martin,27,290,"$2,899,735","$3,613,355"
Keaton Wallace,27,186,"$2,705,914","$3,606,654"
Mac McClung,27,67,"$2,738,516","$3,581,856"
Isaiah Livers,27,65,"$2,378,564","$3,578,824"
Harrison Ingram,23,11,"$2,114,504","$3,545,353"
Olivier Sarr,27,14,"$2,447,665","$3,537,605"
Jamal Cain,27,215,"$2,936,888","$3,522,832"
Killian Hayes,24,127,"$1,837,245","$3,496,116"
Trayce Jackson-Davis,26,181,"$2,605,757","$3,495,441"
Mohamed Diawara,20,246,"$2,538,118","$3,460,706"
Jase Richardson,20,239,"$2,147,448","$3,422,218"
Norchad Omier,24,17,"$2,579,740","$3,372,169"
Elijah Harkless,26,178,"$1,790,133","$3,353,841"
Hayden Gray,22,6,"$2,009,389","$3,340,946"
Malachi Smith,26,124,"$3,182,409","$3,287,856"
Lachlan Olbrich,22,89,"$1,931,381","$3,277,412"
Andre Jackson Jr.,24,113,"$2,200,008","$3,260,630"
Xavier Tillman,27,44,"$1,326,433","$3,258,961"
Jahmai Mashack,23,192,"$1,729,823","$3,257,980"
Leonard Miller,22,361,"$2,531,555","$3,199,398"
MarJon Beauchamp,25,95,"$2,041,504","$3,191,604"
Branden Carlson,26,242,"$2,951,554","$3,182,255"
Mouhamadou Gueye,27,16,"$2,430,679","$3,136,002"
Vladislav Goldin,24,7,"$1,998,856","$3,125,375"
Taelon Peter,24,171,"$1,917,783","$3,098,652"
Jalen Wilson,25,343,"$2,608,398","$3,085,199"
Sean Pedulla,23,13,"$1,731,257","$3,039,348"
Jett Howard,22,301,"$2,562,706","$3,022,942"
Koby Brea,23,45,"$2,072,704","$2,998,958"
Keshad Johnson,24,136,"$1,717,961","$2,978,958"
E.J. Liddell,25,147,"$1,930,159","$2,920,466"
Dalano Banton,26,12,"$2,178,593","$2,886,523"
RayJ Dennis,25,74,"$1,796,184","$2,871,137"
Ron Harper Jr.,26,123,"$1,348,068","$2,841,077"
Moussa Cisse,23,170,"$1,692,356","$2,821,940"
Nick Smith Jr.,21,185,"$1,885,199","$2,803,849"
Trevor Keels,22,8,"$1,672,776","$2,801,524"
Jahmir Young,25,25,"$2,036,471","$2,774,005"
David Roddy,25,40,"$1,870,894","$2,771,013"
A.J. Lawson,25,101,"$1,675,520","$2,770,302"
Christian Koloko,25,73,"$1,481,658","$2,666,259"
Trey Alexander,22,47,"$1,806,308","$2,663,732"
Jeremy Sochan,22,158,"$1,979,862","$2,663,340"
Ariel Hukporti,24,117,"$1,783,492","$2,663,018"
Alex Antetokounmpo,24,19,"$1,355,840","$2,654,109"
Brooks Barnhizer,24,68,"$1,509,541","$2,651,993"
Patrick Baldwin Jr.,23,33,"$987,901","$2,627,050"
Drew Timme,25,92,"$1,478,234","$2,611,652"
Chaney Johnson,23,139,"$1,993,744","$2,586,061"
Kevin McCullar Jr.,25,50,"$1,042,696","$2,543,571"
Chucky Hepburn,23,0,"$671,118","$2,522,501"
Antonio Reeves,25,27,"$1,017,176","$2,513,204"
Amari Williams,24,30,"$891,824","$2,471,702"
Jonathan Mogbo,24,61,"$1,314,481","$2,471,702"
Wendell Moore Jr.,24,10,"$1,658,029","$2,457,493"
Isaiah Stevens,25,10,"$1,221,740","$2,457,493"
Curtis Jones,24,29,"$1,114,038","$2,457,493"
Alijah Martin,24,51,"$1,459,848","$2,413,148"
TyTy Washington Jr.,24,21,"$1,196,995","$2,374,014"
Dillon Jones,24,9,"$1,167,423","$2,330,940"
Max Shulga,23,7,"$573,280","$2,301,504"
Hunter Dickinson,25,12,"$1,034,135","$2,301,504"
Tyler Smith,21,56,"$699,178","$2,236,096"
Julian Phillips,22,140,"$901,400","$2,234,019"
Isaiah Crawford,24,28,"$550,033","$2,207,070"
Colin Castleton,25,5,"$1,168,594","$2,094,170"
Enrique Freeman,25,13,"$918,189","$2,094,170"
